team,submission,auroc,auprc,brier,n,timestamp,status,notes
TeamS,e7ddc3a,0.6569936930236092,0.22106443440087087,0.09511409027300538,20449.0,2025-12-30T22:58:40+00:00,OK,
TeamY,checking_workflow_009,0.5018144430649111,0.110532114374383,0.119930664972151,20449.0,2025-12-30T22:58:10+00:00,OK,
Team1,checking_workflow_007,0.5018144430649111,0.110532114374383,0.119930664972151,20449.0,2025-12-25T19:42:07+00:00,OK,
Team0,checking_workflow_006,0.5018144430649111,0.110532114374383,0.119930664972151,20449.0,2025-12-25T19:41:58+00:00,OK,
TeamX,weekC,0.4972938822064485,0.1137369262514428,0.0994475488423211,20449.0,2025-12-30T22:49:06+00:00,OK,
